feature
Case
sex
lastint
vrspc
lossh
gliosh
pickh
lewyh
spongh
tanglest
amyparf
lossf
losst
gliosf
gliost
superglf
superglt
pickf
pickt
balloonf
balloont
lewyf
lewyt
spongf
spongt
losss
glioss
lewys
age
interval
brain weight
gapd
gap
